barcode,Xcoord,Ycoord,Zcoord
cell70,1725.4,1203.6571428571428,0
cell71,2782.754491017964,156.08982035928145,0
cell72,1821.394366197183,1117.6478873239437,0
cell73,2073.2297297297296,919.0135135135135,0
cell75,1774.6153846153845,1146.8846153846155,0
cell76,2337.7619047619046,662.2142857142857,0
cell77,2100.625954198473,850.8702290076336,0
cell78,2187.26,846.9,0
cell79,2044.1216216216217,987.2162162162163,0
cell80,2895.5652173913045,117.43478260869566,0
cell81,2932.259259259259,40.629629629629626,0
cell82,1972.6,1088.8,0
cell83,1792.8260869565217,1225.1739130434783,0
cell84,1717.5396825396826,1265.2063492063492,0
cell85,1726.2671755725191,1346.0839694656488,0
cell86,1810.5471698113208,1204.4591194968552,0
cell87,2333.4285714285716,737.2857142857143,0
cell88,2159.277777777778,933.5555555555555,0
cell90,2852.6666666666665,270.0416666666667,0
cell91,2136.753846153846,1022.4,0
cell92,1822.0535714285713,1250.4464285714287,0
cell93,1914.6095238095238,1174.5238095238096,0
cell94,1784.3859649122808,1291.6842105263158,0
cell95,3057.230769230769,83.48076923076923,0
cell97,1789.6818181818182,1359.8181818181818,0
cell98,1809.2386363636363,1336.9318181818182,0
cell99,3148.4,36.795121951219514,0
cell100,2955.784090909091,107.72727272727273,0
cell102,2044.1777777777777,1084.4444444444443,0
cell104,1730.3197278911564,1420.6666666666667,0
cell106,2854.0,333.32142857142856,0
cell107,1881.6666666666667,1304.8290598290598,0
cell108,1592.4945054945056,1592.4725274725274,0
cell109,1658.2413793103449,1529.5862068965516,0
cell110,1553.1666666666667,1648.8583333333333,0
cell111,1688.4507042253522,1479.2957746478874,0
cell112,2112.11,1142.31,0
cell114,1792.1770833333333,1431.9791666666667,0
cell115,2975.4496124031007,215.4418604651163,0
cell116,2584.15,746.45,0
cell117,1666.2833333333333,1614.0333333333333,0
cell118,3210.9710144927535,34.6231884057971,0
cell120,1640.48,1603.86,0
cell121,1610.6097560975609,1585.3170731707316,0
